Task,Operation,Time,Unit
[0m
Metric,Task,Value,Unit
---------------------------------------------------------------:,-----------------------------------------:,------------:,-------:
Cumulative indexing time of primary shards,2726.94,min
Min cumulative indexing time across primary shards,2726.94,min
Median cumulative indexing time across primary shards,2726.94,min
Max cumulative indexing time across primary shards,2726.94,min
Cumulative indexing throttle time of primary shards,0,min
Min cumulative indexing throttle time across primary shards,0,min
Median cumulative indexing throttle time across primary shards,0,min
Max cumulative indexing throttle time across primary shards,0,min
Cumulative merge time of primary shards,283.542,min
Cumulative merge count of primary shards,519
Min cumulative merge time across primary shards,283.542,min
Median cumulative merge time across primary shards,283.542,min
Max cumulative merge time across primary shards,283.542,min
Cumulative merge throttle time of primary shards,145.119,min
Min cumulative merge throttle time across primary shards,145.119,min
Median cumulative merge throttle time across primary shards,145.119,min
Max cumulative merge throttle time across primary shards,145.119,min
Cumulative refresh time of primary shards,8.1656,min
Cumulative refresh count of primary shards,381
Min cumulative refresh time across primary shards,8.1656,min
Median cumulative refresh time across primary shards,8.1656,min
Max cumulative refresh time across primary shards,8.1656,min
Cumulative flush time of primary shards,1.37228,min
Cumulative flush count of primary shards,37
Min cumulative flush time across primary shards,1.37228,min
Median cumulative flush time across primary shards,1.37228,min
Max cumulative flush time across primary shards,1.37228,min
Total Young Gen GC time,263.255,s
Total Young Gen GC count,13872
Total Old Gen GC time,0,s
Total Old Gen GC count,0
Store size,25.0768,GB
Translog size,5.12227e-08,GB
Heap used for segments,0,MB
Heap used for doc values,0,MB
Heap used for terms,0,MB
Heap used for norms,0,MB
Heap used for points,0,MB
Heap used for stored fields,0,MB
Segment count,31
Min Throughput,index,15618.3,docs/s
Mean Throughput,index,17405.1,docs/s
Median Throughput,index,16487,docs/s
Max Throughput,index,28170.8,docs/s
0th percentile throughput,index,15618.3,ms
25th percentile throughput,index,15986.2,ms
50th percentile throughput,index,16486.6,ms
75th percentile throughput,index,17832.4,ms
100th percentile throughput,index,28170.8,ms
0th percentile latency,index,2249.28,ms
10th percentile latency,index,8349.31,ms
20th percentile latency,index,8991.18,ms
25th percentile latency,index,9264.57,ms
30th percentile latency,index,9460.93,ms
40th percentile latency,index,9872.43,ms
50th percentile latency,index,10304.1,ms
60th percentile latency,index,10686.2,ms
70th percentile latency,index,11110,ms
75th percentile latency,index,11355.7,ms
80th percentile latency,index,11671.6,ms
90th percentile latency,index,12506.5,ms
99th percentile latency,index,14123.4,ms
99.9th percentile latency,index,15328.9,ms
99.99th percentile latency,index,16256.2,ms
100th percentile latency,index,16554.8,ms
50th percentile service time,index,10303.7,ms
90th percentile service time,index,12503.9,ms
99th percentile service time,index,14122.6,ms
99.9th percentile service time,index,15328.9,ms
99.99th percentile service time,index,16256.2,ms
100th percentile service time,index,16554.8,ms
error rate,index,0,%
Min Throughput,wait-until-merges-finish,0.01,ops/s
Mean Throughput,wait-until-merges-finish,0.01,ops/s
Median Throughput,wait-until-merges-finish,0.01,ops/s
Max Throughput,wait-until-merges-finish,0.01,ops/s
100th percentile throughput,wait-until-merges-finish,0.00878928,ms
100th percentile latency,wait-until-merges-finish,113774,ms
100th percentile service time,wait-until-merges-finish,113774,ms
error rate,wait-until-merges-finish,0,%
Min Throughput,cheap-tip-amount,6,ops/s
Mean Throughput,cheap-tip-amount,6,ops/s
